

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.009  000.009: --- NVIM STARTING ---
000.072  000.063: event init
000.133  000.061: early init
000.209  000.075: locale set
000.235  000.026: init first window
000.607  000.372: inits 1
000.617  000.010: window checked
000.619  000.002: parsing arguments
000.979  000.064  000.064: require('vim.shared')
001.082  000.034  000.034: require('vim._options')
001.083  000.101  000.067: require('vim._editor')
001.084  000.187  000.022: require('vim._init_packages')
001.086  000.279: init lua interpreter
001.121  000.035: expanding arguments
001.149  000.028: inits 2
001.379  000.231: init highlight
001.380  000.001: waiting for UI
001.546  000.166: done waiting for UI
001.553  000.007: clear screen
001.674  000.121: init default mappings & autocommands
045.871  000.051  000.051: sourcing /nix/store/m5ilkmzi6rxlsgfdv05i7zs4kqqr09kw-neovim-unwrapped-0.9.4/share/nvim/runtime/ftplugin.vim
060.668  000.041  000.041: sourcing /nix/store/m5ilkmzi6rxlsgfdv05i7zs4kqqr09kw-neovim-unwrapped-0.9.4/share/nvim/runtime/indent.vim
112.677  018.891  018.891: require('packer.util')
112.707  049.024  030.133: require('packer')
169.733  018.981  018.981: require('packer.log')
169.738  038.051  019.069: require('packer.async')
208.620  019.696  019.696: require('packer.result')
208.624  038.885  019.189: require('packer.jobs')
208.629  095.853  018.918: require('packer.plugin_utils')
227.589  018.945  018.945: require('packer.snapshot')
227.852  164.938  001.115: require('user.plugins')
228.409  000.005  000.005: require('vim.keymap')
247.207  018.622  018.622: require('ufo')
247.309  019.454  000.827: require('user.keymaps')
247.704  000.392  000.392: require('user.autocommands')
271.209  006.030  006.030: require('darkplus.palette')
271.213  012.860  006.830: require('darkplus.theme')
271.214  019.226  006.365: require('darkplus')
272.258  020.283  001.057: sourcing /u/shrimali/.local/share/nvim/site/pack/packer/start/darkplus.nvim/colors/darkplus.vim
272.269  024.563  004.280: require('user.colorscheme')
319.436  015.266  015.266: require('cmp.utils.debug')
349.167  014.456  014.456: require('cmp.utils.char')
349.176  029.736  015.280: require('cmp.utils.str')
394.242  015.082  015.082: require('cmp.utils.misc')
412.663  018.414  018.414: require('cmp.utils.buffer')
429.761  017.094  017.094: require('cmp.utils.api')
429.767  065.997  015.407: require('cmp.utils.keymap')
429.771  080.593  014.597: require('cmp.utils.feedkeys')
512.089  016.842  016.842: require('cmp.types.cmp')
528.116  016.023  016.023: require('cmp.types.lsp')
543.673  015.553  015.553: require('cmp.types.vim')
543.676  065.704  017.286: require('cmp.types')
543.681  081.312  015.608: require('cmp.config.mapping')
558.450  014.767  014.767: require('cmp.utils.cache')
589.107  016.200  016.200: require('cmp.config.compare')
589.110  030.656  014.456: require('cmp.config.default')
589.122  142.240  015.505: require('cmp.config')
589.136  159.364  017.123: require('cmp.utils.async')
618.943  014.882  014.882: require('cmp.utils.pattern')
618.947  029.810  014.927: require('cmp.context')
664.239  014.557  014.557: require('cmp.matcher')
664.246  029.865  015.308: require('cmp.entry')
664.252  045.303  015.439: require('cmp.source')
696.081  015.775  015.775: require('cmp.utils.event')
742.778  016.401  016.401: require('cmp.utils.options')
742.786  031.621  015.220: require('cmp.utils.window')
742.790  046.705  015.084: require('cmp.view.docs_view')
775.804  015.438  015.438: require('cmp.utils.autocmd')
775.816  033.024  017.587: require('cmp.view.custom_entries_view')
790.959  015.142  015.142: require('cmp.view.wildmenu_entries_view')
805.559  014.596  014.596: require('cmp.view.native_entries_view')
820.243  014.682  014.682: require('cmp.view.ghost_text_view')
820.256  156.003  016.079: require('cmp.view')
820.364  531.486  015.411: require('cmp.core')
835.819  015.327  015.327: require('cmp.config.sources')
849.930  014.107  014.107: require('cmp.config.window')
849.979  577.021  016.101: require('cmp')
856.141  000.850  000.850: require('luasnip.util.types')
856.983  000.839  000.839: require('luasnip.util.lazy_table')
858.021  001.036  001.036: require('luasnip.extras.filetype_functions')
858.030  003.703  000.977: require('luasnip.default_config')
858.032  004.888  001.185: require('luasnip.session')
858.042  006.218  001.330: require('luasnip.util.util')
860.336  000.955  000.955: require('luasnip.util.ext_opts')
861.396  001.057  001.057: require('luasnip.nodes.key_indexer')
861.401  003.357  001.345: require('luasnip.nodes.util')
863.767  000.918  000.918: require('luasnip.session.snippet_collection.source')
864.635  000.865  000.865: require('luasnip.util.table')
865.548  000.911  000.911: require('luasnip.util.auto_table')
865.554  004.152  001.457: require('luasnip.session.snippet_collection')
868.511  000.937  000.937: require('luasnip.util.select')
869.490  000.976  000.976: require('luasnip.util.time')
869.670  003.149  001.236: require('luasnip.util._builtin_vars')
869.702  000.029  000.029: require('vim.inspect')
869.779  004.224  001.046: require('luasnip.util.environ')
